Country/Region,Lat,Long,Total_cases,Total_deaths,Total_recovered
United Kingdom,21.694,-71.7979,3031,23,2433
United Kingdom,55.3781,-3.436,9524971,142835,0
Uruguay,-32.5228,-55.7658,396402,6101,374203
Uzbekistan,41.377491,64.585262,189458,1354,126377
Vanuatu,-15.3767,166.9592,6,1,3
Venezuela,6.4238,-66.5897,418900,5019,294607
Vietnam,14.058324,108.277199,1018346,23018,54332
West Bank and Gaza,31.9522,35.2332,456632,4743,312320
Yemen,15.552727,48.516388,9918,1923,4251
Zambia,-13.133897,27.849332,209971,3664,189658
Zimbabwe,-19.015438,29.154857,133393,4696,82994
